Nr.,Name,Wahlberechtigte,abgegeb. Stimmen,Wahlbet.,ungültige,gültige,SPÖ,ÖVP,FPÖ,BZÖ,GRÜNE,FRANK,NEOS,PIRAT,KPÖ,CPÖ,WANDL
40402,Aspach                        ,1966,1366,69.48,44,1322,203,549,321,48,91,64,24,10,3,7,2
40403,Auerbach                      ,403,315,78.16,11,304,17,137,103,7,20,9,3,3,0,5,0
40404,Braunau am Inn                ,12066,7021,58.19,143,6878,2270,1098,1802,269,810,309,194,51,49,16,10
40405,Burgkirchen                   ,2026,1371,67.67,39,1332,239,494,319,54,121,59,30,10,4,0,2
40406,Eggelsberg                    ,1756,1147,65.32,42,1105,190,327,325,34,101,61,42,12,7,4,2
40407,Feldkirchen bei Mattighofen   ,1546,1037,67.08,45,992,128,340,314,32,83,53,17,12,5,6,2
40408,Franking                      ,715,450,62.94,15,435,78,165,104,19,29,19,17,1,2,1,0
40409,Geretsberg                    ,848,530,62.5,17,513,80,202,123,13,47,23,15,7,0,1,2
40410,Gilgenberg am Weilhart        ,1006,666,66.2,16,650,70,269,164,20,49,50,16,5,5,0,2
40411,Haigermoos                    ,464,319,68.75,8,311,56,130,65,11,29,11,8,1,0,0,0
40412,Handenberg                    ,1048,725,69.18,16,709,103,289,190,26,37,28,17,4,4,11,0
40413,Helpfau-Uttendorf             ,2387,1588,66.53,51,1537,337,467,403,58,97,101,46,11,6,6,5
40414,Hochburg-Ach                  ,2198,1344,61.15,31,1313,237,496,271,40,128,74,45,8,4,9,1
40415,Höhnhart                      ,1143,782,68.42,19,763,156,277,230,17,32,26,11,4,4,6,0
40416,Jeging,510,370,72.55,9,361,96,109,94,12,13,17,10,5,3,2,0
40417,Kirchberg bei Mattighofen     ,913,623,68.24,17,606,82,223,152,27,68,22,25,2,2,3,0
40418,Lengau                        ,3489,2399,68.76,83,2316,742,480,591,67,256,105,49,11,9,1,5
40419,Lochen                        ,2025,1449,71.56,52,1397,205,507,360,56,122,78,46,7,8,5,3
40420,Maria Schmolln                ,1143,789,69.03,29,760,131,335,179,24,50,20,16,0,2,2,1
40421,Mattighofen                   ,3734,2294,61.44,58,2236,775,331,593,88,214,123,64,21,15,7,5
40422,Mauerkirchen                  ,1629,940,57.7,23,917,240,229,259,37,60,57,17,4,5,9,0
40423,Mining                        ,933,660,70.74,23,637,131,219,136,27,61,28,25,6,0,4,0
40424,Moosbach                      ,757,537,70.94,9,528,68,168,191,18,34,30,12,4,2,1,0
40425,Moosdorf                      ,1233,819,66.42,21,798,248,206,162,23,92,24,24,11,6,1,1
40426,Munderfing                    ,2212,1475,66.68,56,1419,381,449,282,65,112,67,44,8,5,5,1
40427,Neukirchen an der Enknach     ,1735,1186,68.36,33,1153,256,373,316,44,76,54,17,5,5,7,0
40428,Ostermiething                 ,2389,1454,60.86,69,1385,268,433,333,55,148,85,37,11,5,4,6
40429,Palting                       ,760,531,69.87,21,510,83,194,111,19,51,36,10,3,1,1,1
40430,Perwang am Grabensee          ,719,497,69.12,17,480,81,163,106,18,64,26,15,3,3,0,1
40431,Pfaffstätt                    ,746,503,67.43,20,483,117,153,115,16,43,25,7,5,2,0,0
40432,Pischelsdorf am Engelbach     ,1302,931,71.51,21,910,142,362,265,17,55,49,10,3,5,1,1
40433,Polling im Innkreis           ,771,553,71.73,11,542,91,196,176,17,21,29,7,1,3,0,1
40434,Roßbach                       ,773,556,71.93,15,541,116,190,149,14,26,25,12,5,3,1,0
40435,St.Georgen am Fillmannsbach   ,321,221,68.85,1,220,25,66,94,7,7,13,0,1,1,5,1
40436,St.Johann am Walde            ,1667,1148,68.87,39,1109,345,318,275,32,67,42,21,2,5,2,0
40437,St.Pantaleon                  ,2345,1535,65.46,39,1496,421,328,405,41,143,98,29,11,15,3,2
40438,St.Peter am Hart              ,1846,1239,67.12,40,1199,300,316,272,58,135,71,29,7,9,2,0
40439,St.Radegund                   ,471,349,74.1,9,340,30,192,41,7,46,11,7,3,3,0,0
40440,St.Veit im Innkreis           ,327,246,75.23,7,239,63,80,61,4,13,12,1,2,0,3,0
40441,Schalchen                     ,2833,1869,65.97,44,1825,523,402,499,70,175,96,37,11,8,3,1
40442,Schwand im Innkreis           ,709,505,71.23,12,493,63,219,107,21,42,22,11,3,2,0,3
40443,Tarsdorf                      ,1615,1074,66.5,37,1037,149,389,280,33,101,46,18,6,4,11,0
40444,Treubach                      ,581,387,66.61,10,377,35,169,116,15,17,14,8,3,0,0,0
40445,Überackern                    ,441,261,59.18,8,253,62,95,55,5,16,14,2,0,2,1,1
40446,Weng im Innkreis              ,1139,798,70.06,25,773,142,274,242,26,37,25,24,2,1,0,0
40499,Wahlkarten Braunau am Inn                ,0,5346,0.0,118,5228,1432,1259,924,187,827,285,186,53,41,19,15
40500,Bezirk Eferding                      ,25480,20783,81.57,511,20272,5378,5380,4711,681,2320,931,527,142,113,58,31
40501,Alkoven                       ,4391,3324,75.7,85,3239,1107,628,713,109,378,157,91,23,18,9,6
40502,Aschach an der Donau          ,1654,1264,76.42,32,1232,352,252,306,43,173,52,34,7,10,1,2
40503,Eferding                      ,2868,2016,70.29,44,1972,597,462,429,59,234,70,74,18,21,6,2
40504,Fraham                        ,1834,1386,75.57,33,1353,431,278,324,52,136,71,41,10,7,3,0
40505,Haibach ob der Donau          ,1091,808,74.06,25,783,189,299,123,23,91,35,12,5,4,1,1
40506,Hartkirchen                   ,3378,2527,74.81,48,2479,549,702,664,96,258,117,58,18,11,2,4
40507,Hinzenbach                    ,1566,1218,77.78,26,1192,324,334,302,33,110,55,23,7,3,0,1
40508,Prambachkirchen               ,2259,1717,76.01,48,1669,339,561,425,52,143,89,35,9,9,6,1
40509,Pupping                       ,1578,1080,68.44,17,1063,258,311,270,26,125,41,19,4,3,4,2
40510,St.Marienkirchen an d. Polsenz,1834,1420,77.43,48,1372,344,404,330,49,136,48,30,11,12,5,3
40511,Scharten                      ,1714,1360,79.35,26,1334,332,297,348,56,181,54,35,9,4,14,4
40512,Stroheim                      ,1313,999,76.09,42,957,141,365,228,42,76,63,29,4,4,2,3
40599,Wahlkarten Eferding                      ,0,1664,0.0,37,1627,415,487,249,41,279,79,46,17,7,5,2
40600,Bezirk Freistadt                     ,52884,44085,83.36,1356,42729,11231,14047,7656,1553,4668,1672,984,378,322,141,77
40601,Freistadt                     ,5893,4269,72.44,92,4177,1184,1093,787,185,551,178,90,52,47,9,1
40602,Grünbach                      ,1523,1111,72.95,36,1075,234,325,259,55,95,54,28,11,8,2,4
40603,Gutau                         ,2200,1677,76.23,50,1627,479,556,261,81,139,48,29,10,16,4,4
40604,Hagenberg im Mühlkreis        ,2211,1596,72.18,32,1564,439,367,327,55,223,68,44,25,11,2,3
40605,Hirschbach im Mühlkreis       ,951,743,78.13,34,709,137,307,93,28,87,22,16,7,6,4,2
40606,Kaltenberg                    ,502,409,81.47,9,400,29,237,82,10,17,16,5,2,0,2,0
40607,Kefermarkt                    ,1653,1238,74.89,42,1196,366,353,212,57,109,49,33,8,6,2,1
40608,Königswiesen                  ,2569,1966,76.53,86,1880,413,775,403,42,134,56,27,5,11,12,2
40609,Lasberg                       ,2271,1716,75.56,44,1672,347,621,250,66,245,62,36,18,16,7,4
40610,Leopoldschlag                 ,851,660,77.56,38,622,112,290,99,24,44,29,16,6,0,1,1
40611,Liebenau                      ,1409,1044,74.1,32,1012,269,426,171,26,38,39,17,8,10,7,1
40612,Neumarkt im Mühlkreis         ,2538,1934,76.2,70,1864,494,579,293,70,265,72,62,9,13,4,3
40613,Pierbach                      ,796,616,77.39,21,595,122,240,139,16,32,24,11,1,2,7,1
40614,Pregarten                     ,4142,3160,76.29,97,3063,962,783,577,116,321,144,86,28,26,13,7
40615,Rainbach im Mühlkreis         ,2324,1692,72.81,64,1628,411,680,236,60,129,51,27,20,6,7,1
40616,Sandl                         ,1182,923,78.09,32,891,316,253,136,30,70,38,19,6,14,7,2
40617,St.Leonhard bei Freistadt     ,1154,931,80.68,36,895,235,351,161,18,47,43,19,6,8,6,1
40618,St.Oswald bei Freistadt       ,2232,1702,76.25,41,1661,529,506,342,64,103,57,28,15,11,5,1
40619,Schönau im Mühlkreis          ,1573,1273,80.93,41,1232,257,506,239,37,83,62,23,11,6,4,4
40620,Tragwein                      ,2474,1966,79.47,58,1908,622,620,283,59,178,59,53,16,10,6,2
40621,Unterweißenbach               ,1893,1399,73.9,58,1341,282,541,355,23,68,42,15,5,4,4,2
40622,Unterweitersdorf              ,1643,1311,79.79,38,1273,416,286,246,52,173,37,36,8,12,4,3
40623,Waldburg                      ,1078,843,78.2,17,826,207,293,133,28,99,34,14,8,5,4,1
40624,Wartberg ob der Aist          ,3402,2557,75.16,76,2481,805,521,484,120,325,106,74,18,18,3,7
40625,Weitersfelden                 ,862,673,78.07,20,653,155,280,104,25,48,16,20,3,1,0,1
40626,Windhaag bei Freistadt        ,1295,1001,77.3,37,964,214,424,169,33,59,38,13,4,8,1,1
40627,Bad Zell                      ,2263,1809,79.94,56,1753,317,677,326,71,227,69,27,14,14,7,4
40699,Wahlkarten Freistadt                     ,0,3866,0.0,99,3767,878,1157,489,102,759,159,116,54,33,7,13
40700,Bezirk Gmunden                       ,78662,61343,77.98,1680,59663,18211,12895,11598,2392,7684,3071,2351,479,579,277,126
40701,Altmünster                    ,7754,5371,69.27,166,5205,1343,1226,1030,216,765,277,222,35,42,33,16
40702,Bad Goisern                   ,6089,4274,70.19,126,4148,1736,512,848,174,384,229,115,31,62,44,13
40703,Bad Ischl                     ,10792,7138,66.14,192,6946,2177,1257,1387,313,917,373,321,63,100,18,20
40704,Ebensee                       ,6453,4449,68.94,118,4331,1909,674,729,148,448,193,137,30,46,11,6
40705,Gmunden                       ,10132,6262,61.8,128,6134,1409,1446,1118,317,1001,338,380,48,40,21,16
40706,Gosau                         ,1467,1054,71.85,39,1015,455,205,151,50,62,44,32,4,7,5,0
40707,Grünau im Almtal              ,1623,1183,72.89,36,1147,355,295,240,41,98,63,29,11,10,1,4
40708,Gschwandt                     ,2122,1618,76.25,52,1566,378,430,365,55,188,59,57,10,12,7,5
40709,Hallstatt                     ,640,475,74.22,11,464,199,70,58,11,71,18,11,6,17,2,1
40710,Kirchham                      ,1593,1185,74.39,37,1148,160,487,228,46,106,72,27,9,6,7,0
40711,Laakirchen                    ,7122,5036,70.71,122,4914,1829,927,1029,173,497,219,135,43,38,18,6
40712,Obertraun                     ,588,441,75.0,19,422,209,59,53,19,42,18,2,0,18,1,1
40713,Ohlsdorf                      ,3943,2792,70.81,85,2707,769,587,642,98,309,152,98,19,18,14,1
40714,Pinsdorf                      ,2940,2072,70.48,54,2018,643,323,510,86,249,101,71,16,13,5,1
40715,Roitham                       ,1620,1154,71.23,29,1125,323,288,275,45,97,46,29,6,8,7,1
40716,St.Konrad                     ,879,616,70.08,21,595,134,229,100,31,59,17,11,3,6,5,0
40717,St.Wolfgang im Salzkammergut  ,2159,1449,67.11,54,1395,376,413,269,67,115,71,50,17,12,5,0
40718,Traunkirchen                  ,1330,938,70.53,28,910,211,238,148,47,155,41,53,5,4,8,0
40719,Scharnstein                   ,3710,2632,70.94,76,2556,748,571,591,109,253,143,86,20,19,9,7
40720,Vorchdorf                     ,5706,4037,70.75,105,3932,1058,885,946,148,453,241,123,26,25,21,6
40799,Wahlkarten Gmunden                       ,0,7167,0.0,182,6985,1790,1773,881,198,1415,356,362,77,76,35,22
40800,Bezirk Grieskirchen                  ,49884,40198,80.58,1274,38924,8273,12254,9246,1384,4156,1790,1090,286,214,156,75
40801,Aistersheim                   ,657,465,70.78,16,449,84,151,116,19,32,20,21,1,2,2,1
40802,Bad Schallerbach              ,2899,1969,67.92,49,1920,495,472,485,68,225,92,56,10,6,6,5
40803,Bruck-Waasen                  ,1873,1361,72.66,49,1312,217,509,287,62,124,63,35,6,4,3,2
40804,Eschenau im Hausruckkreis     ,898,701,78.06,26,675,82,278,188,15,51,30,13,8,6,1,3
40805,Gallspach                     ,1868,1293,69.22,24,1269,340,241,402,33,121,57,44,9,6,15,1
40806,Gaspoltshofen                 ,2819,1923,68.22,67,1856,399,517,554,57,188,61,33,21,13,8,5
40807,Geboltskirchen                ,1138,860,75.57,38,822,207,257,179,30,77,45,5,7,4,10,1
40808,Grieskirchen                  ,3551,2532,71.3,75,2457,604,571,603,109,316,101,105,17,15,12,4
40809,Haag am Hausruck              ,1651,1166,70.62,31,1135,299,318,270,28,127,38,32,8,5,8,2
40810,Heiligenberg                  ,537,439,81.75,16,423,26,210,110,12,33,23,5,1,2,1,0
40811,Hofkirchen an der Trattnach   ,1222,880,72.01,27,853,155,291,221,29,72,38,22,11,9,3,2
40812,Kallham                       ,2063,1540,74.65,59,1481,311,483,350,56,135,69,57,10,5,3,2
40813,Kematen am Innbach            ,1028,733,71.3,18,715,141,186,234,35,55,37,14,3,7,2,1
40814,Meggenhofen                   ,1085,827,76.22,17,810,149,330,154,20,93,31,20,6,6,1,0
40815,Michaelnbach                  ,1027,743,72.35,35,708,103,314,139,27,54,47,15,5,2,1,1
40816,Natternbach                   ,1938,1462,75.44,55,1407,336,432,343,45,113,70,42,13,6,5,2
40817,Neukirchen am Walde           ,1347,1011,75.06,34,977,168,391,227,32,77,44,17,4,11,4,2
40818,Neumarkt im Hausruckkreis     ,1115,737,66.1,14,723,216,165,203,25,53,33,17,3,8,0,0
40819,Peuerbach                     ,1781,1254,70.41,43,1211,228,419,260,45,140,79,19,6,7,4,4
40820,Pötting                       ,444,349,78.6,5,344,37,213,45,7,26,11,2,3,0,0,0
40821,Pollham                       ,777,608,78.25,22,586,75,199,94,38,85,64,20,3,0,7,1
40822,Pram                          ,1465,1016,69.35,32,984,215,256,282,40,101,40,24,12,6,6,2
40823,Rottenbach                    ,829,649,78.29,22,627,121,177,190,28,45,34,13,7,5,6,1
40824,St.Agatha                     ,1737,1265,72.83,46,1219,221,528,248,48,96,42,26,3,5,2,0
40825,St.Georgen bei Grieskirchen   ,969,726,74.92,29,697,147,211,153,25,88,27,33,4,2,4,3
40826,St.Thomas                     ,399,332,83.21,14,318,24,108,95,7,43,26,5,3,4,1,2
40827,Schlüßlberg                   ,2353,1713,72.8,36,1677,578,333,406,66,150,71,42,13,11,6,1
40828,Steegen                       ,902,592,65.63,25,567,103,205,127,27,65,24,11,2,2,1,0
40829,Taufkirchen an der Trattnach  ,1627,1140,70.07,39,1101,200,364,318,38,89,48,21,12,5,3,3
40830,Tollet                        ,731,572,78.25,19,553,128,191,98,23,79,17,12,3,1,1,0
40831,Waizenkirchen                 ,2906,2174,74.81,50,2124,382,799,471,70,213,90,70,11,10,3,5
40832,Wallern an der Trattnach      ,2321,1705,73.46,40,1665,478,396,419,56,164,69,56,17,6,2,2
40833,Weibern                       ,1297,940,72.47,41,899,139,337,187,26,106,54,29,10,1,7,3
40834,Wendling                      ,630,462,73.33,18,444,59,187,114,12,35,16,13,2,3,1,2
40899,Wahlkarten Grieskirchen                  ,0,4059,0.0,143,3916,806,1215,674,126,685,179,141,32,29,17,12
40900,Bezirk Kirchdorf an der Krems        ,43274,34292,79.24,824,33468,8438,9067,7612,1255,3537,1812,1008,323,192,161,63
40901,Edlbach                       ,524,390,74.43,5,385,78,154,72,22,23,8,13,3,6,4,2
40902,Grünburg                      ,2881,1969,68.34,52,1917,565,456,516,74,123,107,36,20,7,9,4
40903,Hinterstoder                  ,752,504,67.02,9,495,93,164,121,16,41,42,15,0,2,0,1
40904,Inzersdorf im Kremstal        ,1524,1151,75.52,39,1112,239,330,286,31,117,50,40,9,6,2,2
40905,Kirchdorf an der Krems        ,3170,2059,64.95,58,2001,633,384,443,59,298,71,69,24,9,8,3
40906,Klaus an der Pyhrnbahn        ,849,585,68.9,7,578,256,93,119,23,36,28,11,4,3,4,1
40907,Kremsmünster                  ,4751,3203,67.42,70,3133,632,941,655,158,357,186,133,47,15,7,2
40908,Micheldorf in Oberösterreich  ,4527,3402,75.15,85,3317,1071,559,798,107,403,196,114,28,25,10,6
40909,Molln                         ,2772,2017,72.76,40,1977,628,407,483,98,172,92,43,18,14,18,4
40910,Nußbach                       ,1809,1389,76.78,37,1352,261,550,239,42,140,57,44,7,6,5,1
40911,Oberschlierbach               ,369,280,75.88,8,272,65,97,41,7,40,8,8,1,1,4,0
40912,Pettenbach                    ,3855,2892,75.02,81,2811,619,764,683,123,277,197,80,25,29,9,5
40913,Ried im Traunkreis            ,2111,1574,74.56,43,1531,249,549,413,42,118,82,40,28,5,5,0
40914,Rosenau am Hengstpaß          ,543,400,73.66,4,396,149,80,98,15,21,21,1,3,1,7,0
40915,Roßleithen                    ,1496,1074,71.79,19,1055,314,284,228,37,69,71,32,4,2,8,6
40916,St.Pankraz                    ,265,187,70.57,3,184,50,30,76,8,9,10,0,1,0,0,0
40917,Schlierbach                   ,2158,1527,70.76,39,1488,313,415,336,41,217,92,39,16,6,11,2
40918,Spital am Pyhrn               ,1730,1216,70.29,17,1199,371,277,322,60,72,52,20,7,5,12,1
40919,Steinbach am Ziehberg         ,679,506,74.52,13,493,99,168,122,13,41,27,15,1,4,2,1
40920,Steinbach an der Steyr        ,1639,1313,80.11,34,1279,281,476,295,46,92,50,19,9,5,3,3
40921,Vorderstoder                  ,644,431,66.93,12,419,67,159,110,14,28,27,9,3,0,2,0
40922,Wartberg an der Krems         ,2303,1630,70.78,60,1570,285,564,358,55,125,91,54,20,13,5,0
40923,Windischgarsten               ,1923,1250,65.0,24,1226,371,266,280,58,122,63,47,11,2,6,0
40999,Wahlkarten Kirchdorf an der Krems        ,0,3343,0.0,65,3278,749,900,518,106,596,184,126,34,26,20,19
41000,Bezirk Linz-Land                     ,105643,83000,78.57,1659,81341,26429,15582,17683,2611,9963,4253,3294,619,588,180,139
41001,Allhaming                     ,893,635,71.11,10,625,140,197,126,26,65,33,27,7,3,0,1
41002,Ansfelden                     ,10936,7497,68.55,152,7345,2820,926,1999,240,604,431,188,57,59,14,7
41003,Asten                         ,4686,3347,71.43,74,3273,1264,363,948,118,236,199,89,28,19,4,5
41004,Eggendorf im Traunkreis       ,645,493,76.43,4,489,124,154,104,17,35,28,19,1,4,1,2
41005,Enns                          ,8140,5538,68.03,110,5428,1855,952,1196,163,669,289,201,56,33,6,8
41006,Hargelsberg                   ,1062,795,74.86,18,777,188,240,159,21,78,55,28,4,2,1,1
41007,Hörsching                     ,4519,3204,70.9,72,3132,942,580,842,104,300,192,124,14,25,5,4
41008,Hofkirchen im Traunkreis      ,1360,987,72.57,23,964,286,268,196,11,123,42,17,6,7,3,5
41009,Kematen an der Krems          ,1939,1391,71.74,29,1362,333,352,338,46,139,88,47,4,8,5,2
41010,Kirchberg-Thening             ,1873,1399,74.69,26,1373,462,242,280,40,207,60,61,7,11,1,2
41011,Kronstorf                     ,2560,1850,72.27,30,1820,592,398,421,51,167,97,61,18,8,3,4
41012,Leonding                      ,19851,14108,71.07,268,13840,4306,2467,2809,508,2063,666,740,116,106,25,34
41013,St.Florian                    ,4995,3598,72.03,100,3498,922,988,602,142,427,168,200,17,20,12,0
41014,Neuhofen an der Krems         ,4489,3014,67.14,67,2947,870,695,558,75,421,150,105,21,28,16,8
41015,Niederneukirchen              ,1614,1218,75.46,22,1196,293,416,208,28,150,62,22,5,3,5,4
41016,Oftering                      ,1558,1184,75.99,22,1162,400,244,237,43,129,52,45,4,6,0,2
41017,Pasching                      ,5228,3773,72.17,68,3705,1280,549,904,125,458,166,162,33,22,2,4
41018,Piberbach                     ,1458,1079,74.01,22,1057,308,252,227,46,118,65,24,2,11,4,0
41019,Pucking                       ,3084,2269,73.57,50,2219,633,437,590,79,206,170,70,21,6,5,2
41020,St.Marien                     ,3700,2774,74.97,63,2711,796,758,474,80,301,143,107,16,17,15,4
41021,Traun                         ,16475,11000,66.77,202,10798,4229,1382,2708,334,963,572,374,99,90,27,20
41022,Wilhering                     ,4578,3372,73.66,77,3295,863,812,556,110,574,129,187,21,37,4,2
41099,Wahlkarten Linz-Land                     ,0,8475,0.0,150,8325,2523,1910,1201,204,1530,396,396,62,63,22,18
41100,Bezirk Perg                          ,51994,43195,83.08,1161,42034,12862,12380,7775,1167,4137,1879,1068,272,228,201,65
41101,Allerheiligen im Mühlkreis    ,955,786,82.3,28,758,221,231,144,34,58,40,16,6,4,3,1
41102,Arbing                        ,1103,858,77.79,18,840,226,269,151,33,92,32,21,7,7,1,1
41103,Baumgartenberg                ,1290,954,73.95,22,932,164,323,265,33,82,42,10,5,5,2,1
41104,Dimbach                       ,829,649,78.29,32,617,168,274,99,11,29,16,13,3,3,1,0
41105,Grein                         ,2408,1681,69.81,56,1625,533,452,320,44,152,68,35,8,3,7,3
41106,Katsdorf                      ,2294,1783,77.72,48,1735,519,465,282,59,227,91,69,6,9,4,4
41107,Klam                          ,697,484,69.44,20,464,89,178,106,12,32,18,17,2,4,5,1
41108,Bad Kreuzen                   ,1771,1334,75.32,38,1296,160,664,257,31,71,69,24,3,9,4,4
41109,Langenstein                   ,1960,1511,77.09,44,1467,658,237,260,31,119,123,24,4,7,1,3
41110,Luftenberg an der Donau       ,3202,2355,73.55,42,2313,917,370,484,75,242,108,66,21,19,7,4
41111,Mauthausen                    ,3694,2723,73.71,62,2661,1134,468,500,55,248,122,91,17,20,4,2
41112,Mitterkirchen im Machland     ,1375,1006,73.16,31,975,273,369,156,33,76,44,14,4,1,3,2
41113,Münzbach                      ,1298,1026,79.04,52,974,153,438,228,28,49,35,24,7,5,7,0
41114,Naarn im Machlande            ,2796,2185,78.15,53,2132,624,706,419,60,143,92,58,17,5,5,3
41115,Pabneukirchen                 ,1377,993,72.11,32,961,194,412,187,33,70,32,24,3,2,4,0
41116,Perg                          ,6028,4311,71.52,107,4204,1208,1201,843,127,454,153,138,31,17,26,6
41117,Rechberg                      ,733,563,76.81,19,544,80,305,53,17,40,29,8,4,0,7,1
41118,Ried in der Riedmark          ,3307,2505,75.75,63,2442,846,669,403,64,260,110,61,14,9,2,4
41119,St.Georgen am Walde           ,1684,1295,76.9,46,1249,425,416,231,29,55,39,25,10,7,11,1
41120,St.Georgen an der Gusen       ,3060,2329,76.11,59,2270,884,447,391,63,279,105,63,17,14,2,5
41121,St.Nikola an der Donau        ,572,450,78.67,12,438,98,193,67,10,34,13,12,2,4,3,2
41122,St.Thomas am Blasenstein      ,729,560,76.82,19,541,77,310,74,12,19,27,12,1,3,6,0
41123,Saxen                         ,1391,1111,79.87,29,1082,270,290,328,23,79,49,28,4,5,2,4
41124,Schwertberg                   ,4027,3007,74.67,78,2929,1145,576,511,102,328,132,62,34,24,10,5
41125,Waldhausen im Strudengau      ,2284,1819,79.64,50,1769,522,593,348,43,152,61,22,4,9,11,4
41126,Windhaag bei Perg             ,1130,866,76.64,26,840,143,345,138,29,75,42,24,6,8,29,1
41199,Wahlkarten Perg                          ,0,4051,0.0,75,3976,1131,1179,530,76,672,187,107,32,25,34,3
41200,Bezirk Ried im Innkreis              ,46264,35330,76.37,942,34388,6884,10521,8894,1432,3386,1570,1040,262,178,152,69
41201,Andrichsfurt                  ,560,365,65.18,15,350,30,151,111,10,27,10,7,0,2,2,0
41202,Antiesenhofen                 ,802,550,68.58,12,538,133,129,118,83,43,17,8,6,0,0,1
41203,Aurolzmünster                 ,2322,1483,63.87,29,1454,373,276,461,73,95,107,42,11,10,1,5
41204,Eberschwang                   ,2719,1860,68.41,57,1803,513,392,490,115,153,67,39,17,5,10,2
41205,Eitzing                       ,589,414,70.29,19,395,84,128,92,10,40,20,14,2,1,2,2
41206,Geiersberg                    ,428,304,71.03,9,295,52,97,69,12,39,15,3,4,3,1,0
41207,Geinberg                      ,1106,719,65.01,25,694,121,210,225,34,43,26,14,7,2,9,3
41208,Gurten                        ,935,632,67.59,10,622,123,230,143,27,41,30,18,6,3,1,0
41209,Hohenzell                     ,1672,1220,72.97,45,1175,151,403,279,52,143,59,53,11,0,20,4
41210,Kirchdorf am Inn              ,483,363,75.16,7,356,62,157,74,21,21,17,2,2,0,0,0
41211,Kirchheim im Innkreis         ,565,443,78.41,15,428,77,178,117,4,31,14,5,0,0,2,0
41212,Lambrechten                   ,1054,815,77.32,23,792,87,365,218,21,39,34,18,4,2,3,1
41213,Lohnsburg am Kobernaußerwald  ,1810,1258,69.5,42,1216,182,460,326,50,87,52,36,10,3,6,4
41214,Mehrnbach                     ,1871,1256,67.13,30,1226,204,366,405,44,98,55,29,1,16,5,3
41215,Mettmach                      ,1990,1379,69.3,54,1325,304,376,413,48,66,66,26,8,8,10,0
41216,Mörschwang                    ,261,198,75.86,8,190,12,90,35,9,26,11,3,1,1,1,1
41217,Mühlheim am Inn               ,537,390,72.63,12,378,125,106,89,9,23,12,12,0,1,1,0
41218,Neuhofen im Innkreis          ,1807,1239,68.57,19,1220,285,358,262,51,148,45,49,6,8,5,3
41219,Obernberg am Inn              ,1148,609,53.05,7,602,142,148,179,23,59,26,19,2,2,2,0
41220,Ort im Innkreis               ,922,668,72.45,16,652,99,176,221,35,62,41,14,3,0,1,0
